Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
243,Layered,"[128,64,16]",0.955178908,0.949790378,0.938855643,0.943992313,0.976377953,0.966526823,0.980647419,892,0
250,Layered,"[32,16,8]",0.955178908,0.943954081,0.946131234,0.944886397,0.966929134,0.966309382,0.979426072,892,0
344,Pharm2D-Gobbi,"[256,64,16]",0.955178908,0.948236405,0.943881107,0.945021606,0.970058019,0.971969696,0.979388551,887,5
456,RDKit,"[256,64,16]",0.955178908,0.945897551,0.943301837,0.944524144,0.970603675,0.966303129,0.978113736,877,15
537,Torsion,"[256,128,64]",0.955178908,0.945711154,0.943706037,0.944583567,0.97007874,0.96898375,0.978684164,887,5
547,Torsion,"[128,64]",0.955178908,0.950851708,0.938047244,0.943848965,0.977427822,0.968444142,0.979174103,888,4
22,Avalon,"[64,16]",0.95480226,0.94536155,0.94303937,0.944111444,0.97007874,0.963477899,0.975296588,892,0
124,ErG,"[512,256,128]",0.95480226,0.949536044,0.938362245,0.943685471,0.976344799,0.964532634,0.97493168,885,7
333,Morgan,"[32,8]",0.95480226,0.952113577,0.93535958,0.943211858,0.980052493,0.970451242,0.980682415,886,6
346,Pharm2D-Gobbi,"[512,128]",0.95480226,0.946488717,0.942787746,0.944068252,0.970573284,0.968127962,0.979111566,884,8
373,Pharm2D-Pmapper,"[512,256]",0.95480226,0.9473369,0.941179087,0.943963161,0.97267164,0.968092795,0.978752665,889,3
441,Pattern,"[64,32]",0.95480226,0.94859381,0.93956298,0.943847537,0.974772759,0.971591053,0.981834668,891,1
459,RDKit,"[512,64]",0.95480226,0.945664736,0.942635171,0.944077563,0.970603675,0.969947514,0.981018373,884,8
25,Avalon,"[32,8]",0.954425612,0.947742176,0.939543307,0.943312213,0.973753281,0.964911475,0.975793526,891,1
122,ErG,"[512,128]",0.954425612,0.945714955,0.942522245,0.9438431,0.970051112,0.964813147,0.975619775,890,2
231,Layered,"[256,64,32]",0.954425612,0.943963544,0.943585302,0.943758934,0.968503937,0.966559196,0.979867017,891,1
233,Layered,"[512,256]",0.954425612,0.945174154,0.942372703,0.94347328,0.97007874,0.964065084,0.979450569,892,0
251,Layered,"[32,4]",0.954425612,0.947223828,0.940755906,0.94325962,0.972178478,0.953192808,0.969765529,892,0
282,Mordred,"[256,64]",0.954425612,0.94625892,0.941160105,0.943514585,0.971653543,0.965217024,0.980097988,890,2
